rank,title_length,age_in_hours,points,comment_count
1,75,6,220,112
2,54,6,154,71
3,80,0,3,0
4,36,13,371,58
5,24,9,163,23
6,65,9,131,46
7,49,10,212,67
8,54,4,22,4
9,79,10,122,49
10,82,11,145,15
11,58,7,64,12
12,84,1,44,12
13,72,6,64,10
14,69,9,53,31
15,50,18,156,118
16,93,5,15,14
17,51,5,25,7
18,73,2,4,2
19,58,11,46,43
20,60,15,105,79
21,74,13,321,219
22,40,17,276,47
23,38,12,141,80
24,85,17,140,60
25,53,10,59,95
26,49,14,67,45
27,59,17,256,70
28,59,13,132,95
29,79,18,191,86
30,69,15,82,21
1,75,6,220,112
2,54,6,154,71
3,80,0,3,0
4,36,13,371,58
5,24,9,163,23
6,65,9,131,46
7,49,10,212,67
8,54,4,22,4
9,79,10,122,49
10,82,11,145,15
11,58,7,64,12
12,84,1,44,12
13,72,6,64,10
14,69,9,53,31
15,50,18,156,118
16,93,5,15,14
17,51,5,25,7
18,73,2,4,2
19,58,11,46,43
20,60,15,105,79
21,74,13,321,219
22,40,17,276,47
23,38,12,141,80
24,85,17,140,60
25,53,10,59,95
26,49,14,67,45
27,59,17,256,70
28,59,13,132,95
29,79,18,191,86
30,69,15,82,21
1,75,6,220,112
2,54,6,154,71
3,80,0,3,0
4,36,13,371,58
5,24,9,163,23
6,65,9,131,46
7,49,10,212,67
8,54,4,22,4
9,79,10,122,49
10,82,11,145,15
11,58,7,64,12
12,84,1,44,12
13,72,6,64,10
14,69,9,53,31
15,50,18,156,118
16,93,5,15,14
17,51,5,25,7
18,73,2,4,2
19,58,11,46,43
20,60,15,105,79
21,74,13,321,219
22,40,17,276,47
23,38,12,141,80
24,85,17,140,60
25,53,10,59,95
26,49,14,67,45
27,59,17,256,70
28,59,13,132,95
29,79,18,191,86
30,69,15,82,21
1,75,6,220,112
2,54,6,154,71
3,80,0,3,0
4,36,13,371,58
5,24,9,163,23
6,65,9,131,46
7,49,10,212,67
8,54,4,22,4
9,79,10,122,49
10,82,11,145,15
11,58,7,64,12
12,84,1,44,12
13,72,6,64,10
14,69,9,53,31
15,50,18,156,118
16,93,5,15,14
17,51,5,25,7
18,73,2,4,2
19,58,11,46,43
20,60,15,105,79
21,74,13,321,219
22,40,17,276,47
23,38,12,141,80
24,85,17,140,60
25,53,10,59,95
26,49,14,67,45
27,59,17,256,70
28,59,13,132,95
29,79,18,191,86
30,69,15,82,21
1,75,6,220,112
2,54,6,154,71
3,80,0,3,0
4,36,13,371,58
5,24,9,163,23
6,65,9,131,46
7,49,10,212,67
8,54,4,22,4
9,79,10,122,49
10,82,11,145,15
11,58,7,64,12
12,84,1,44,12
13,72,6,64,10
14,69,9,53,31
15,50,18,156,118
16,93,5,15,14
17,51,5,25,7
18,73,2,4,2
19,58,11,46,43
20,60,15,105,79
21,74,13,321,219
22,40,17,276,47
23,38,12,141,80
24,85,17,140,60
25,53,10,59,95
26,49,14,67,45
27,59,17,256,70
28,59,13,132,95
29,79,18,191,86
30,69,15,82,21
