BucketKNN,Dim,N,K,Time
BucketKNN,1,100,1,74224.3
BucketKNN,1,100,5,73999.7
BucketKNN,1,100,10,74295.3
BucketKNN,1,100,20,74137.3
BucketKNN,1,100,50,74205.3
BucketKNN,1,500,1,369596
BucketKNN,1,500,5,373803
BucketKNN,1,500,10,370592
BucketKNN,1,500,20,373202
BucketKNN,1,500,50,371505
BucketKNN,1,1000,1,332215
BucketKNN,1,1000,5,334592
BucketKNN,1,1000,10,328616
BucketKNN,1,1000,20,329119
BucketKNN,1,1000,50,327337
BucketKNN,1,5000,1,378492
BucketKNN,1,5000,5,384593
BucketKNN,1,5000,10,377645
BucketKNN,1,5000,20,377898
BucketKNN,1,5000,50,378525
BucketKNN,1,10000,1,398986
BucketKNN,1,10000,5,365167
BucketKNN,1,10000,10,364511
BucketKNN,1,10000,20,364870
BucketKNN,1,10000,50,366946
BucketKNN,2,100,1,96762.7
BucketKNN,2,100,5,93634.3
BucketKNN,2,100,10,93419
BucketKNN,2,100,20,92750
BucketKNN,2,100,50,93083.3
BucketKNN,2,500,1,430896
BucketKNN,2,500,5,431017
BucketKNN,2,500,10,433329
BucketKNN,2,500,20,433361
BucketKNN,2,500,50,431565
BucketKNN,2,1000,1,874157
BucketKNN,2,1000,5,870341
BucketKNN,2,1000,10,874548
BucketKNN,2,1000,20,870137
BucketKNN,2,1000,50,870318
BucketKNN,2,5000,1,1.33189e+06
BucketKNN,2,5000,5,1.3384e+06
BucketKNN,2,5000,10,1.33873e+06
BucketKNN,2,5000,20,1.33319e+06
BucketKNN,2,5000,50,1.33089e+06
BucketKNN,2,10000,1,1.6019e+06
BucketKNN,2,10000,5,1.61612e+06
BucketKNN,2,10000,10,1.59729e+06
BucketKNN,2,10000,20,1.6029e+06
BucketKNN,2,10000,50,1.60642e+06
BucketKNN,3,100,1,79199.7
BucketKNN,3,100,5,78955
BucketKNN,3,100,10,79147.7
BucketKNN,3,100,20,79019
BucketKNN,3,100,50,79208.7
BucketKNN,3,500,1,454839
BucketKNN,3,500,5,454423
BucketKNN,3,500,10,453758
BucketKNN,3,500,20,454094
BucketKNN,3,500,50,459296
BucketKNN,3,1000,1,894227
BucketKNN,3,1000,5,899656
BucketKNN,3,1000,10,894449
BucketKNN,3,1000,20,895991
BucketKNN,3,1000,50,893440
BucketKNN,3,5000,1,2.57859e+06
BucketKNN,3,5000,5,2.56292e+06
BucketKNN,3,5000,10,2.60193e+06
BucketKNN,3,5000,20,2.56731e+06
BucketKNN,3,5000,50,2.57463e+06
BucketKNN,3,10000,1,4.43307e+06
BucketKNN,3,10000,5,4.44023e+06
BucketKNN,3,10000,10,4.44174e+06
BucketKNN,3,10000,20,4.44014e+06
BucketKNN,3,10000,50,4.44378e+06
BucketKNN,4,100,1,78770
BucketKNN,4,100,5,78489.3
BucketKNN,4,100,10,78391
BucketKNN,4,100,20,78867
BucketKNN,4,100,50,78807.7
BucketKNN,4,500,1,484498
BucketKNN,4,500,5,484989
BucketKNN,4,500,10,491869
BucketKNN,4,500,20,491100
BucketKNN,4,500,50,485882
BucketKNN,4,1000,1,1.02588e+06
BucketKNN,4,1000,5,1.02128e+06
BucketKNN,4,1000,10,1.02624e+06
BucketKNN,4,1000,20,1.02498e+06
BucketKNN,4,1000,50,1.01996e+06
BucketKNN,4,5000,1,5.73e+06
BucketKNN,4,5000,5,5.71554e+06
BucketKNN,4,5000,10,5.72324e+06
BucketKNN,4,5000,20,5.73831e+06
BucketKNN,4,5000,50,5.72166e+06
BucketKNN,4,10000,1,8.39699e+06
BucketKNN,4,10000,5,8.34732e+06
BucketKNN,4,10000,10,8.3347e+06
BucketKNN,4,10000,20,8.38544e+06
BucketKNN,4,10000,50,8.36686e+06
BucketKNN,5,100,1,86011.3
BucketKNN,5,100,5,85988
BucketKNN,5,100,10,85988.3
BucketKNN,5,100,20,85862
BucketKNN,5,100,50,85685.3
BucketKNN,5,500,1,514323
BucketKNN,5,500,5,514232
BucketKNN,5,500,10,513279
BucketKNN,5,500,20,514734
BucketKNN,5,500,50,514058
BucketKNN,5,1000,1,1.10192e+06
BucketKNN,5,1000,5,1.09829e+06
BucketKNN,5,1000,10,1.10731e+06
BucketKNN,5,1000,20,1.10677e+06
BucketKNN,5,1000,50,1.10504e+06
BucketKNN,5,5000,1,5.93212e+06
BucketKNN,5,5000,5,5.94069e+06
BucketKNN,5,5000,10,5.97776e+06
BucketKNN,5,5000,20,5.9401e+06
BucketKNN,5,5000,50,5.96202e+06
BucketKNN,5,10000,1,1.30488e+07
BucketKNN,5,10000,5,1.30466e+07
BucketKNN,5,10000,10,1.30513e+07
BucketKNN,5,10000,20,1.30492e+07
BucketKNN,5,10000,50,1.30385e+07
BucketKNN,6,100,1,90664.3
BucketKNN,6,100,5,88129
BucketKNN,6,100,10,87882
BucketKNN,6,100,20,87701
BucketKNN,6,100,50,87272.7
BucketKNN,6,500,1,532718
BucketKNN,6,500,5,532510
BucketKNN,6,500,10,549181
BucketKNN,6,500,20,533347
BucketKNN,6,500,50,533124
BucketKNN,6,1000,1,1.16379e+06
BucketKNN,6,1000,5,1.16904e+06
BucketKNN,6,1000,10,1.16196e+06
BucketKNN,6,1000,20,1.16715e+06
BucketKNN,6,1000,50,1.16241e+06
BucketKNN,6,5000,1,6.5095e+06
BucketKNN,6,5000,5,6.50885e+06
BucketKNN,6,5000,10,6.54625e+06
