DumbKNN,Dim,N,K,Time
DumbKNN,1,100,1,9459.67
DumbKNN,1,100,5,10256
DumbKNN,1,100,10,12360.7
DumbKNN,1,100,20,15243
DumbKNN,1,100,50,13393.3
DumbKNN,1,500,1,42110.7
DumbKNN,1,500,5,42958.7
DumbKNN,1,500,10,44987.3
DumbKNN,1,500,20,54359.3
DumbKNN,1,500,50,70075.7
DumbKNN,1,1000,1,86579.7
DumbKNN,1,1000,5,85999
DumbKNN,1,1000,10,87711.7
DumbKNN,1,1000,20,100078
DumbKNN,1,1000,50,118118
DumbKNN,1,5000,1,392779
DumbKNN,1,5000,5,405236
DumbKNN,1,5000,10,399685
DumbKNN,1,5000,20,472167
DumbKNN,1,5000,50,456179
DumbKNN,1,10000,1,746579
DumbKNN,1,10000,5,784411
DumbKNN,1,10000,10,775056
DumbKNN,1,10000,20,872749
DumbKNN,1,10000,50,909949
DumbKNN,2,100,1,14325.3
DumbKNN,2,100,5,14841
DumbKNN,2,100,10,16348.3
DumbKNN,2,100,20,18598
DumbKNN,2,100,50,16577.7
DumbKNN,2,500,1,66178.3
DumbKNN,2,500,5,65427.7
DumbKNN,2,500,10,68952
DumbKNN,2,500,20,79022.7
DumbKNN,2,500,50,90576
DumbKNN,2,1000,1,130140
DumbKNN,2,1000,5,129019
DumbKNN,2,1000,10,127746
DumbKNN,2,1000,20,142337
DumbKNN,2,1000,50,162361
DumbKNN,2,5000,1,631812
DumbKNN,2,5000,5,633034
DumbKNN,2,5000,10,637308
DumbKNN,2,5000,20,667920
DumbKNN,2,5000,50,738909
DumbKNN,2,10000,1,1.14566e+06
DumbKNN,2,10000,5,1.19819e+06
DumbKNN,2,10000,10,1.20156e+06
DumbKNN,2,10000,20,1.33939e+06
DumbKNN,2,10000,50,1.36395e+06
DumbKNN,3,100,1,18230.3
DumbKNN,3,100,5,18614.3
DumbKNN,3,100,10,20877.7
DumbKNN,3,100,20,22862.7
DumbKNN,3,100,50,23778.7
DumbKNN,3,500,1,84570.7
DumbKNN,3,500,5,86990
DumbKNN,3,500,10,91056.3
DumbKNN,3,500,20,104541
DumbKNN,3,500,50,117632
DumbKNN,3,1000,1,168981
DumbKNN,3,1000,5,167692
DumbKNN,3,1000,10,171489
