Quadtree,Dim,N,K,Time
Quadtree,2,100,1,12724.3
Quadtree,2,100,5,14800
Quadtree,2,100,10,17691.7
Quadtree,2,100,20,19567.7
Quadtree,2,100,50,19174
Quadtree,2,500,1,60242.3
Quadtree,2,500,5,71889.3
Quadtree,2,500,10,78195.7
Quadtree,2,500,20,88161.7
Quadtree,2,500,50,112464
Quadtree,2,1000,1,126077
Quadtree,2,1000,5,139448
Quadtree,2,1000,10,151872
Quadtree,2,1000,20,167201
Quadtree,2,1000,50,198407
Quadtree,2,5000,1,583286
Quadtree,2,5000,5,626493
Quadtree,2,5000,10,654268
Quadtree,2,5000,20,696751
Quadtree,2,5000,50,801597
Quadtree,2,10000,1,1.17465e+06
Quadtree,2,10000,5,1.23098e+06
Quadtree,2,10000,10,1.28113e+06
Quadtree,2,10000,20,1.35319e+06
Quadtree,2,10000,50,1.50346e+06
Quadtree,2,100,1,13495
Quadtree,2,100,5,17089
Quadtree,2,100,10,19921.7
Quadtree,2,100,20,21404
Quadtree,2,100,50,19232.3
Quadtree,2,500,1,59535.7
Quadtree,2,500,5,69583.7
Quadtree,2,500,10,76008
Quadtree,2,500,20,84444.3
Quadtree,2,500,50,106837
Quadtree,2,1000,1,120381
Quadtree,2,1000,5,136202
Quadtree,2,1000,10,147428
Quadtree,2,1000,20,164201
Quadtree,2,1000,50,191640
Quadtree,2,5000,1,582765
Quadtree,2,5000,5,625366
Quadtree,2,5000,10,658055
Quadtree,2,5000,20,706335
Quadtree,2,5000,50,785643
Quadtree,2,10000,1,1.17872e+06
Quadtree,2,10000,5,1.22022e+06
Quadtree,2,10000,10,1.25908e+06
Quadtree,2,10000,20,1.33206e+06
Quadtree,2,10000,50,1.50091e+06
Quadtree,2,100,1,13519.3
Quadtree,2,100,5,17182.3
Quadtree,2,100,10,19401
Quadtree,2,100,20,20385.3
Quadtree,2,100,50,21483.7
Quadtree,2,500,1,62607
Quadtree,2,500,5,72832.7
Quadtree,2,500,10,80730
Quadtree,2,500,20,90761.7
Quadtree,2,500,50,107541
Quadtree,2,1000,1,118125
Quadtree,2,1000,5,134143
Quadtree,2,1000,10,144167
Quadtree,2,1000,20,158489
Quadtree,2,1000,50,187828
Quadtree,2,5000,1,598034
Quadtree,2,5000,5,671338
Quadtree,2,5000,10,675642
Quadtree,2,5000,20,709480
Quadtree,2,5000,50,801564
Quadtree,2,10000,1,1.1618e+06
Quadtree,2,10000,5,1.22701e+06
Quadtree,2,10000,10,1.28939e+06
Quadtree,2,10000,20,1.34713e+06
Quadtree,2,10000,50,1.46151e+06
Quadtree,2,100,1,11844.3
Quadtree,2,100,5,15438.3
Quadtree,2,100,10,17067.3
Quadtree,2,100,20,18180.7
Quadtree,2,100,50,22978.3
Quadtree,2,500,1,58663
Quadtree,2,500,5,69866.7
Quadtree,2,500,10,77340.7
Quadtree,2,500,20,86883
Quadtree,2,500,50,101158
Quadtree,2,1000,1,116284
Quadtree,2,1000,5,133133
Quadtree,2,1000,10,143196
Quadtree,2,1000,20,159322
Quadtree,2,1000,50,189537
Quadtree,2,5000,1,586004
Quadtree,2,5000,5,622691
Quadtree,2,5000,10,658481
Quadtree,2,5000,20,708302
Quadtree,2,5000,50,786204
Quadtree,2,10000,1,1.15288e+06
Quadtree,2,10000,5,1.21751e+06
Quadtree,2,10000,10,1.26024e+06
Quadtree,2,10000,20,1.32673e+06
Quadtree,2,10000,50,1.46304e+06
Quadtree,2,100,1,12487.7
Quadtree,2,100,5,16704
Quadtree,2,100,10,18204.7
Quadtree,2,100,20,19252.3
Quadtree,2,100,50,23079.3
Quadtree,2,500,1,59615
Quadtree,2,500,5,69679.7
Quadtree,2,500,10,75973.7
Quadtree,2,500,20,81261.3
Quadtree,2,500,50,102055
Quadtree,2,1000,1,119030
Quadtree,2,1000,5,140763
Quadtree,2,1000,10,152201
Quadtree,2,1000,20,165455
Quadtree,2,1000,50,190651
Quadtree,2,5000,1,588534
Quadtree,2,5000,5,634728
Quadtree,2,5000,10,659184
Quadtree,2,5000,20,701453
Quadtree,2,5000,50,799031
Quadtree,2,10000,1,1.15994e+06
Quadtree,2,10000,5,1.2564e+06
Quadtree,2,10000,10,1.27652e+06
Quadtree,2,10000,20,1.40431e+06
Quadtree,2,10000,50,1.54673e+06
Quadtree,2,100,1,12788.7
Quadtree,2,100,5,16193.3
Quadtree,2,100,10,19672.7
Quadtree,2,100,20,20677.3
Quadtree,2,100,50,20913
Quadtree,2,500,1,58478.7
Quadtree,2,500,5,69565.7
Quadtree,2,500,10,78376.7
Quadtree,2,500,20,89836.3
Quadtree,2,500,50,103100
Quadtree,2,1000,1,122229
Quadtree,2,1000,5,139115
Quadtree,2,1000,10,149310
Quadtree,2,1000,20,165670
Quadtree,2,1000,50,202776
Quadtree,2,5000,1,593284
Quadtree,2,5000,5,634150
Quadtree,2,5000,10,668262
Quadtree,2,5000,20,708784
Quadtree,2,5000,50,802716
Quadtree,2,10000,1,1.17493e+06
Quadtree,2,10000,5,1.24639e+06
Quadtree,2,10000,10,1.28315e+06
Quadtree,2,10000,20,1.35808e+06
Quadtree,2,10000,50,1.48367e+06
Quadtree,2,100,1,13091
Quadtree,2,100,5,16247.7
Quadtree,2,100,10,18181.3
Quadtree,2,100,20,19700
Quadtree,2,100,50,19777
Quadtree,2,500,1,61147.3
Quadtree,2,500,5,71552
Quadtree,2,500,10,80642
Quadtree,2,500,20,89780.7
Quadtree,2,500,50,107995
Quadtree,2,1000,1,121191
Quadtree,2,1000,5,141293
Quadtree,2,1000,10,147377
Quadtree,2,1000,20,164494
Quadtree,2,1000,50,191902
Quadtree,2,5000,1,585425
Quadtree,2,5000,5,633066
Quadtree,2,5000,10,661604
Quadtree,2,5000,20,743103
Quadtree,2,5000,50,805591
Quadtree,2,10000,1,1.18686e+06
Quadtree,2,10000,5,1.26428e+06
Quadtree,2,10000,10,1.29332e+06
Quadtree,2,10000,20,1.37293e+06
Quadtree,2,10000,50,1.50323e+06
